sender,subject,body,label
security@account-check.example,URGENT: Verify your account now,Your account will be suspended today. Click here to verify your password: http://192.168.1.8/verify,1
billing@payment-review.example,Payment failed - action required,We could not process your payment. Confirm your bank account immediately at https://billing-review.example/login,1
it-helpdesk@password-reset.example,Mandatory password reset,Your password expires in one hour. Reset now using this link: https://reset-access.example,1
rewards@bonus-claim.example,You won a gift card,Claim your gift card today. Click here and confirm your identity to receive the reward.,1
alerts@secure-mail.example,Security alert: unusual activity,Unusual activity was detected. Verify your account credentials immediately.,1
payroll@employee-update.example,Payroll update required,Confirm your bank account before the next salary payment. This request is urgent.,1
delivery@parcel-fee.example,Package held: small fee required,Your parcel is waiting. Pay the redelivery fee at https://parcel-fee.example/pay.,1
admin@cloud-storage.example,Storage account disabled,Your cloud files will be deleted. Click here to keep your account active.,1
invoice@unknown-vendor.example,Invoice attached - overdue,Invoice attached. Payment is overdue. Open the document and pay today.,1
service@membership-renew.example,Membership cancelled,We cancelled your membership. Confirm your card details to restore access.,1
ceo.office@executive-request.example,Confidential request,Buy gift cards immediately and send the codes. Do not call because I am in a meeting.,1
tax@refund-status.example,Tax refund waiting,You are eligible for a refund. Confirm your identity and bank account using the secure form.,1
support@social-login.example,Someone logged into your profile,Secure the profile now. Enter your password at https://social-login.example/check.,1
notice@domain-expiry.example,Your domain expires today,Renew now to avoid losing the domain. Limited time payment link inside.,1
hr@candidate-document.example,Resume review document,Open the attached file and enable editing to view interview feedback.,1
security@public-mail.example,Bank security alert,Your bank account has unusual activity. Click here to verify your password.,1
verify@streaming-account.example,Streaming payment failed,Update your payment information now or your account will be suspended.,1
support@crypto-help.example,Wallet verification required,Confirm your recovery phrase to prevent your wallet from being locked.,1
update@office-auth.example,Email quota exceeded,Your mailbox is full. Sign in through the link below to increase storage.,1
refund@marketplace-claims.example,Refund approved,"To receive the refund, verify your card and password within 30 minutes.",1
legal@document-sign.example,Urgent document signature,Open the secure document and sign in to review the confidential complaint.,1
noreply@security-check.example,FINAL WARNING,VERIFY YOUR ACCOUNT NOW!!! Click here before access is permanently disabled!!!,1
support@mobile-bill.example,Outstanding mobile bill,Your service will be disconnected. Pay now using the shortened link https://bit.ly/example-safe-placeholder,1
team@identity-check.example,Confirm your identity,We need your password and account number to complete a security review.,1
administrator@remote-access.example,Remote access approval,Install the attached tool and send the access code to the technician.,1
office@wire-request.example,Urgent vendor transfer,Transfer the invoice payment to the new bank account today. Keep this confidential.,1
